# Michael Loizias Analytics CSV Export
# Start Date: 1 Nov 2025
# End Date: 5 Feb 2026


Date,Social account,Social network,Post link,Post text,Post type,Reach,Reach rate (%),Video views,Reactions,Comments,Shares,Engagement rate (%),Action
2025-12-05 09:01,Michael Loizias,Linkedin,https://www.linkedin.com/feed/update/urn:li:share:7402633100180217856,"57% of people with Crohn’s or Colitis have had to reduce their working hours because of their condition.

When you live with Crohn’s, you quickly realise how much your energy, mobility and general health can fluctuate from one week to the next.

I’ve had periods where symptoms meant I had to completely rethink how I structured my day. It’s not about doing less, it’s about working smarter, adapting quickly and being honest about what your body will allow.

IBD is a constant balancing act, but with the right support and flexibility, people can still perform at a high level and contribute fully.",Photo,259,8.49,-,4,0,0,1.54,-
2025-12-08 09:00,Michael Loizias,Linkedin,https://www.linkedin.com/feed/update/urn:li:share:7403720099771097090,"One thing that has really struck me since diving into the tech world is the difference in culture.

In construction, I’ve often seen a real lack of pride in the work. I’ve had members of staff make mistakes worth more than £100,000 and simply shrug. No sense of ownership, no embarrassment, nothing to show they cared about the impact. It becomes “just part of the job,” which is worrying in an industry where risks and consequences are so real.

A couple of weeks ago I watched someone in tech who was genuinely disappointed in themselves because they couldn’t complete a task to the standard they expected. No one criticised them. The frustration came entirely from their own pride in their work.

That moment genuinely stopped me. After 15 years in construction, I had never seen anything like it.

It made me think how different could our industry be if more people took real pride in the quality of what they deliver?",Status,3783,122.78,-,42,13,0,1.45,-
2026-01-12 09:00,Michael Loizias,Linkedin,https://www.linkedin.com/feed/update/urn:li:share:7416196158034874369,"We’re hiring our first in-house Digital Marketing Manager at StoneRise.

We’re looking for an experienced, hands-on marketer who enjoys being close to the work. Someone who can create strong content, run campaigns, manage paid activity, and work closely with us as founders to help shape how we show up in the market.

If you like building things properly, working in a small team, and making a real impact in a growing construction-tech SaaS business, take a look.

Please no recruiters at this stage.",Status,1157,35.16,-,14,0,0,1.21,-
2025-11-04 07:00,Michael Loizias,Linkedin,https://www.linkedin.com/feed/update/urn:li:share:7391368676630872064,"You can systemise your workflows, tighten approvals and build out slick dashboards and layered reporting, but if your team hasn’t delivered before, those systems won’t catch the early signs when something’s off.

Delivery confidence isn’t something you buy, you earn it through real-world experience and that includes the jobs that ran well and jobs that didn’t. Also, through knowing what a risk looks like before it becomes a delay and spotting the small detail that everyone else misses.

For example, at Milestone, we’ve invested heavily in systems, but they’re only one part of the picture. What matters most is the people behind them.

People who know what to do when a spec changes last minute, understand how to maintain flow when the design is still evolving and people who’ve stood on sites where pressure is high, trust is fragile, and every decision matters.

That’s where confidence comes from, not from process alone, but from experience backed by good systems, not the other way round.
",Status,717,25.82,-,8,0,0,1.12,-
2025-12-16 09:06,Michael Loizias,Linkedin,https://www.linkedin.com/feed/update/urn:li:ugcPost:7406620775383969792,"Some conditions are simply too rare. Too few in number to attract meaningful research funding. Too complex for major pharmaceutical companies to prioritise. Yet they have a huge impact on the people who live with them.

After a long period of reflection following my illness, and after living with Crohn’s for many years and more recently the addition of PSC, I have wanted to do something that gives this journey a purpose. PSC in particular receives very limited research attention and there are still no real treatment options apart from a liver transplant, which in many cases does not solve the problem. It is an area that needs far more support.

Today I am proud to announce the launch of The Loizias Foundation.

The foundation will focus on three core objectives.

First, to fund and promote research and development into new treatments for autoimmune diseases, especially those that are overlooked because they are not considered commercially attractive.

Second, to create scholarship and mentorship programmes for children from disadvantaged backgrounds, giving them the chance to access advanced education and build careers in scientific and medical research. I want young people who might never have had these opportunities to one day be the scientists and clinicians who help lead the breakthroughs of the future.

Third, to build and manage a long term investment portfolio within the foundation so that it can sustain its work for generations to come. This is not a short burst of fundraising. It is something I want to outlive me and continue helping people long after the initial funds have been raised.

My personal ambition is for the foundation to reach £200 million in raised funding (yes its ambitious but i am confident we can do it!) over the next seven to ten years. Every penny of my own share of profits and value created through StoneRise will be committed to it, along with funds raised through private support and partnerships.

I will serve as Chairman alongside Stelios Ioannou as one of the founding Trustees. We will be confirming additional trustees in the coming months as we grow the foundation’s governance and capability.

This is something very personal for me and for my family. I hope it becomes a source of real progress for people living with auto immune conditions that the world often overlooks.

More in the coming months about our first research partners and early childhood programmes.

Milestone Group AYM Services StoneRise Technology Nomos Group ",Photo,7377,234.56,-,72,9,0,1.1,-
2025-11-12 09:01,Michael Loizias,Linkedin,https://www.linkedin.com/feed/update/urn:li:share:7394298180814704641,"Some conditions are too rare to attract funding, but that doesn’t mean they should be forgotten.

Over the past few years my family and I have been on a difficult journey with autoimmune conditions. In my case, Primary Sclerosing Cholangitis (PSC) and Crohn’s Disease.

Living with these has changed how I see both health and opportunity. For many autoimmune conditions, especially the rarer ones, there is very limited funding for research. The reality is that for large pharmaceutical companies, these diseases often aren’t seen as commercially profitable to focus on, which means progress is painfully slow.

With PSC, there is still no proven treatment or cure. The only option is a liver transplant, which may not even be a lasting solution for many patients.

From this experience I’ve decided to establish a charitable foundation with three main aims:

	1.	To fund and promote research and development into treatments for autoimmune diseases.

	2.	To create scholarship and mentorship programmes for children from disadvantaged backgrounds, helping them access advanced education and build careers in scientific and medical research.

	3.	To build and maintain a long-term investment portfolio within the foundation, ensuring that it can sustain its work and continue supporting future generations long after the initial fundraising.

My ambition is to build something that lasts, a foundation that not only contributes to medical progress (and hopefully helps find a couple of treatments along the way) but helps develop the next generation of people who will drive it forward.

Between my own donations/investiture, including the entirety of my share of profits and value generated through StoneRise, and external fundraising, my goal is to reach £200 million (aim high and miss then aim low and hit) in funding over the next 7 to 10 years.

To help make this a reality I’m looking to connect with people who have experience in setting up and managing charitable foundations, particularly around:

• Charity registration and governance
• Funding and operational models
• Partnerships with research institutions or educational organisations

If you’ve been involved in this kind of work or know someone who could offer guidance / expertise, I’d really, really appreciate hearing from you.

Please feel free to reach out or tag anyone who might be able to help. Keep moving forward.
",Status,3361,117.85,-,30,2,1,0.98,-
2026-02-04 09:01,Michael Loizias,Linkedin,https://www.linkedin.com/feed/update/urn:li:share:7424738787399806976,"Something I think about a lot is how we make construction software that people actually enjoy using.

Most of what’s out there feels like it was designed by someone who has never worked on a project. Cluttered interfaces. Too many clicks. Features buried in menus.

We’re trying to do things differently with StoneRise Technology.

Take purchase requests. In our system it is simple. Open the form, add items, select the supplier, submit. Three minutes and you are done. No navigating through five screens. No saving as draft because the system timed out.

It sounds basic, but getting the small things right makes a massive difference to daily workflows. When software gets out of your way, people actually use it.

If you are curious what that simplicity translates to in real terms, checkout our quick ROI calculator here:

https://www.stonerise.tech/products/procurement/ROI?utm_source=linkedin_michael&utm_medium=organic_social&utm_campaign=ux_focus_general&utm_content=20260204_post1

It gives a pretty clear view of how much time and cost can be saved just by fixing everyday processes.

That’s the bar we’re setting.

#BuiltByConstruction4Construction #StoneRise #ChallengingTheStatusQuo",Status,772,23.46,-,4,0,0,0.52,-
2026-02-03 09:00,Michael Loizias,Linkedin,https://www.linkedin.com/feed/update/urn:li:share:7424376344458727424,"Really pleased with how Invoice AI has come together.

The idea was simple: why should anyone manually match invoices to purchase orders in 2026?

So we built something better. Upload your invoices, one or a hundred, and the system does the rest. OCR pulls the data. AI matches against your POs and delivery records automatically. Flags anything that doesn't line up.

Watching it work is genuinely satisfying. An invoice lands, and within seconds you can see: matched, matched, matched, query needed.

The users then just reviews the exceptions. Not every single invoice.

It's one of those features where you think ""this should have existed years ago."" Happy we finally built it.

Drop me a message if you want to see it in action, or book a demo here: https://www.stonerise.tech/request-demo?utm_source=linkedin_michael&utm_medium=organic_social&utm_campaign=invoice_ai_procurement&utm_content=20260203_post1

#BuiltByConstruction4Construction #StoneRise #ChallengingTheStatusQuo StoneRise Technology ",Photo,5765,175.17,-,24,1,1,0.45,-


